Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2015-11-02,95,7:21:00 AM,Monday,U OF T,Late Leaving Garage,7,14,W/B,1707
2015-11-02,195,7:25:00 AM,Monday,Jane/Steeles,Late Leaving Garage,10,20,S,7912
2015-11-02,54,7:27:00 AM,Monday,Lawrence rt,Utilized Off Route,9,18,eb,7423
2015-11-02,60,7:30:00 AM,Monday,Entire route,General Delay,15,30,B/W,
2015-11-02,14,7:30:00 AM,Monday,Entire Route,General Delay,20,35,E,1621
2015-11-02,109,7:30:00 AM,Monday,Eglinton W. stn to Neptune,General Delay,10,25,BW,
2015-11-02,102,7:30:00 AM,Monday,Markham Road Route,General Delay,10,1,BW,
2015-11-02,90,7:30:00 AM,Monday,St. Clair W. stn to Eglinton,General Delay,10,25,BW,
2015-11-02,116,7:43:00 AM,Monday,KENN,Utilized Off Route,12,24,E,7632
2015-11-02,85,7:45:00 AM,Monday,Don Mills station to Rouge Hill,General Delay,18,15,B/W,
2015-11-02,54,7:45:00 AM,Monday,Lawrence rt,Utilized Off Route,6,12,wb,7571
2015-11-02,54,7:50:00 AM,Monday,Eglinon stn to the Star Spray loop,General Delay,18,32,bw,
2015-11-02,160,8:00:00 AM,Monday,Bathurst stn to Atkinson,General Delay,15,25,BW,
2015-11-02,68,8:00:00 AM,Monday,68 Route,General Delay,25,20,bw,
2015-11-02,132,8:00:00 AM,Monday,ScarboroughTown Centre to Hupfield and Sewells,General Delay,10,15,B/W,
2015-11-02,17,8:00:00 AM,Monday,Birchmount Route,General Delay,10,1,BW,
2015-11-02,105,8:00:00 AM,Monday,Steeles,General Delay,20,15,S/B,0
2015-11-02,39,8:06:00 AM,Monday,Finch & Markham,Mechanical,4,8,W,1748
2015-11-02,709,8:10:00 AM,Monday,duplex and eglinton,Mechanical,1,1,w/b,1590
2015-11-02,44,8:15:00 AM,Monday,Kipling at Queensway,General Delay,15,9,nb,
2015-11-02,196,8:21:00 AM,Monday,Downsview Stn.,Utilized Off Route,2,8,W/B,9021
2015-11-02,39,8:25:00 AM,Monday,Finch Stn,Investigation,15,30,E,1763
2015-11-02,51,8:30:00 AM,Monday,Bayview and Eglinton,General Delay,16,30,bw,
2015-11-02,23,8:30:00 AM,Monday,Dawes route,General Delay,10,1,BW,
2015-11-02,107,8:31:00 AM,Monday,Keele and Planchet Rd.,Mechanical,18,36,N/B,8193
2015-11-02,95,8:31:00 AM,Monday,YorkMills station to Kingston road,General Delay,15,30,BW,
2015-11-02,38,8:38:00 AM,Monday,STYC,Mechanical,14,28,E/B,1079
2015-11-02,97,8:45:00 AM,Monday,Yonge and York Mills,Mechanical,30,60,s,8372
2015-11-02,196,8:51:00 AM,Monday,Downsview Stn,Utilized Off Route,2,8,W/B,8200
2015-11-02,103,9:00:00 AM,Monday,Eglinton station,General Delay,15,35,bw,
2015-11-02,196,9:04:00 AM,Monday,Downsview Stn.,Utilized Off Route,6,18,W/B,8366
2015-11-02,36,9:07:00 AM,Monday,Keele and Finch,Mechanical,5,10,W/B,9103
2015-11-02,165,9:15:00 AM,Monday,Weston and Finch,Mechanical,8,23,W,8463
2015-11-02,199,9:15:00 AM,Monday,STC,Mechanical,4,8,W,1136
2015-11-02,196,9:19:00 AM,Monday,Downsview Stn.,Mechanical,5,7,W/B,9439
2015-11-02,54,9:29:00 AM,Monday,Lawrence rt,Utilized Off Route,6,12,wb,7565
2015-11-02,16,9:33:00 AM,Monday,STC,Mechanical,10,20,SB,7782
2015-11-02,125,9:40:00 AM,Monday,Bathurst and Antibies,Mechanical,12,24,E,8353
2015-11-02,165,9:56:00 AM,Monday,Wilson and Keele,Mechanical,7,15,W,7975
2015-11-02,47,10:00:00 AM,Monday,Route 47,Utilized Off Route,15,23,BW,
2015-11-02,45,10:00:00 AM,Monday,Steeles Loop,Mechanical,2,10,sb,7969
2015-11-02,709,10:08:00 AM,Monday,Eglinton w stn,Utilized Off Route,1,1,E,1626
2015-11-02,89,10:11:00 AM,Monday,Keele & Dundas W,Utilized Off Route,1,1,N,1073
2015-11-02,42,10:15:00 AM,Monday,Wilson stn,Utilized Off Route,1,1,n/b,8202
2015-11-02,90,10:24:00 AM,Monday,St.Clair west stn,Utilized Off Route,8,16,n/b,8309
2015-11-02,95,10:30:00 AM,Monday,York Mills station,Utilized Off Route,15,30,E,1743
2015-11-02,134,10:33:00 AM,Monday,Scarborough Town Centre,Utilized Off Route,7,13,e,1738
2015-11-02,29,10:35:00 AM,Monday,Dufferin and Dufferin park,Investigation,4,9,n/b,9026
2015-11-02,129,10:42:00 AM,Monday,McCowan at McNicoll,Emergency Services,7,14,S/B,1080
2015-11-02,168,10:45:00 AM,Monday,"Bloor and Symington, Construction",General Delay,5,15,B/W,7348
2015-11-02,34,10:51:00 AM,Monday,Eglinton - Birchmount,Mechanical,7,14,E,7568
2015-11-02,36,11:06:00 AM,Monday,Humberwood Loop,Mechanical,5,11,E/B,9127
2015-11-02,54,12:00:00 PM,Monday,Lawrence rt,Mechanical,8,16,ob,7651
2015-11-02,124,12:09:00 PM,Monday,Lawrence Station,Utilized Off Route,8,16,E,8395
2015-11-02,162,12:10:00 PM,Monday,Lawrence Station,Mechanical,1,0,E,8390
2015-11-02,195,12:12:00 PM,Monday,York U / Commons,Mechanical,10,20,S,8457
2015-11-02,91,12:22:00 PM,Monday,Bracebridge and Woodbine,Mechanical,23,46,,8112
2015-11-02,94,12:46:00 PM,Monday,CASTLE FRANK STATION,Mechanical,7,14,W,7802
2015-11-02,92,12:50:00 PM,Monday,Woddbine Station,Utilized Off Route,112,24,,8120
2015-11-02,41,12:56:00 PM,Monday,Keele and Gulliver,Emergency Services,9,18,S/B,9145
2015-11-02,34,1:00:00 PM,Monday,34 Eglinton Route,General Delay,20,14,BW,
2015-11-02,100,1:00:00 PM,Monday,100 Flemington Route,General Delay,20,20,BW,
2015-11-02,54,1:00:00 PM,Monday,54-Lawrance route,General Delay,12,19,BW,
2015-11-02,68,1:05:00 PM,Monday,Warden Station,Mechanical,10,20,n,7482
2015-11-02,75,1:10:00 PM,Monday,Sherbourne. Dundas to Carlton,Diversion,90,97,B,8204
2015-11-02,34,1:37:00 PM,Monday,Eglinton & Bayview,Mechanical,7,14,WB,7425
2015-11-02,116,1:44:00 PM,Monday,Kenendy Stn,Emergency Services,10,20,E,7474
2015-11-02,32,1:45:00 PM,Monday,Caledonia & Eglinton,Mechanical,10,20,e/b,1044
2015-11-02,60,1:46:00 PM,Monday,Finch Station to all Branches,General Delay,1,1,B/W,1
2015-11-02,110,1:54:00 PM,Monday,Islington Station,Late Leaving Garage,12,22,S/B,8039
2015-11-02,12,2:00:00 PM,Monday,Kingston Road Route,General Delay,15,1,B/w,
2015-11-02,104,2:05:00 PM,Monday,Wilson Heights,Emergency Services,15,30,S/B,8311
2015-11-02,85,2:14:00 PM,Monday,Don Mills Station,Utilized Off Route,7,14,WB,9077
2015-11-02,199,2:23:00 PM,Monday,FSTN,Utilized Off Route,4,8,W/B,1747
2015-11-02,75,2:25:00 PM,Monday,Bloor at Sherbourne,Utilized Off Route,7,14,S,8145
2015-11-02,67,2:25:00 PM,Monday,Crossland and Pharmacy,Mechanical,10,20,s,7671
2015-11-02,129,2:29:00 PM,Monday,STC,Utilized Off Route,5,10,N/B,9088
2015-11-02,161,2:30:00 PM,Monday,Entire route,General Delay,10,20,B/W,
2015-11-02,41,2:30:00 PM,Monday,Entire route,General Delay,10,20,B/W,
2015-11-02,47,2:30:00 PM,Monday,Entire route,General Delay,20,40,B/W,
2015-11-02,82,2:30:00 PM,Monday,Summerhill at Macleanen,Mechanical,20,40,S,8143
2015-11-02,199,2:31:00 PM,Monday,FSTN,Utilized Off Route,4,8,W/B,1736
2015-11-02,67,2:32:00 PM,Monday,Vic Park Station,Mechanical,15,30,n,7515
2015-11-02,85,2:38:00 PM,Monday,Don Mills Station,Utilized Off Route,7,14,EB,9065
2015-11-02,199,2:39:00 PM,Monday,FSTN,Utilized Off Route,4,8,W/B,1262
2015-11-02,89,2:43:00 PM,Monday,Albion,Mechanical,7,15,n,1675
2015-11-02,105,2:45:00 PM,Monday,Dufferin/Steeles,Mechanical,32,64,S,8382
2015-11-02,60,2:45:00 PM,Monday,York University Commons,Late Leaving Garage,11,22,E/B,8463
2015-11-02,88,2:47:00 PM,Monday,St.Clair Station,Mechanical,8,16,E,8166
2015-11-02,87,2:50:00 PM,Monday,Birchmount garage,Late Leaving Garage,6,12,,7775
2015-11-02,52,2:53:00 PM,Monday,Church and Jane,Late Leaving Garage,0,8,e/b,1557
2015-11-02,196,2:55:00 PM,Monday,Downsview Stn,Utilized Off Route,4,8,S/B,8349
