,Location,Min Delay,delay_count
956,Don Mills Stn,7,
957,Staines and Morningside,10,
958,FSTN,4,
959,FSTN,4,
960,Scar Town,2,
961,Bathurst north route,15,
962,Entire Route,10,
963,FSTN,4,
964,Kipling Av and Farr Av,10,
965,Finch Station,11,
966,PJPS,9,
967,Don Mills Stn,9,
968,FSTN,4,
969,Scar Town,15,
970,Jane St and Driftwood Ave,1,
971,Keele st / Arrowsmith ave,9,
972,Lawrance and Curlew,13,
973,Tycos,5,
974,Warden Station,18,
975,Eglinton Station,25,
976,Thorncliffe Route,12,
977,Midland & Lawerence,12,
978,Bathurst route,20,
979,Eglinton Garage,1,
980,ELRT,8,
981,bathurst at Wilson,8,
